ID;GL_ITEM;GL_ITEM_NAME;BalanceInSQL;BalanceInPL;Difference;BalanceDate
95;7650;Other commission incomes;10820,94;10820,94;0;2013-10-17 00:00:00.000
96;6600;Office operating costs;-239844,83;-239844,83;0;2013-10-17 00:00:00.000
97;6150;Other personnel expenses;-60164,13;-60164,13;0;2013-10-17 00:00:00.000
98;5100;Interest payable non-banks;-191407,63;-191407,63;0;2013-10-17 00:00:00.000
99;6900;Taxes on income and profit;-2022902,29;-2022902,29;0;2013-10-17 00:00:00.000
100;10;Cash box;-1937,06;-1937,06;0;2013-10-17 00:00:00.000
101;2500;Intangible assets;-147671,13;-147671,13;0;2013-10-17 00:00:00.000
102;2600;Fixed assets;-140471,63;-140471,63;0;2013-10-17 00:00:00.000
103;2850;Accrued income;-142799,06;-142799,06;0;2013-10-17 00:00:00.000
104;4110;Other liabilities;2195774,71;2195774,71;0;2013-10-17 00:00:00.000
105;4200;Deferred income;0;0;0;2013-10-17 00:00:00.000
106;4300;Provisions - taxes;515762;515762;0;2013-10-17 00:00:00.000
107;4350;Provisions - other;718987,38;718987,38;0;2013-10-17 00:00:00.000
108;6700;Administrative expenses;-518141,37;-518141,37;0;2013-10-17 00:00:00.000
109;6400;Depreciation of intangible and tangible assets;-79480,71;-79480,71;0;2013-10-17 00:00:00.000
110;7210;Interest income floating rate securities;40069,24;40069,24;0;2013-10-17 00:00:00.000
111;6500;Room  maintenance costs and rental fees;-490417,09;-490417,09;0;2013-10-17 00:00:00.000
112;7010;Interest income banks;1981937,28;1981937,28;0;2013-10-17 00:00:00.000
113;6950;Other taxes;-29672,54;-29672,54;0;2013-10-17 00:00:00.000
114;5010;Interest payable banks;-11856482,6;-11856482,23;-0,37;2013-10-18 00:00:00.000
115;5100;Interest payable non-banks;-191859,87;-191859,87;0;2013-10-18 00:00:00.000
116;5500;Commission payable;-553112,09;-553112,08;-0,01;2013-10-18 00:00:00.000
117;6000;Wages and salaries;-2417442,03;-2417442,03;0;2013-10-18 00:00:00.000
118;6100;Social contributions;-253808,44;-253808,44;0;2013-10-18 00:00:00.000
119;6150;Other personnel expenses;-62743,68;-62743,68;0;2013-10-18 00:00:00.000
120;6400;Depreciation of intangible and tangible assets;-79480,71;-79480,71;0;2013-10-18 00:00:00.000
121;6500;Room  maintenance costs and rental fees;-490404,15;-490404,15;0;2013-10-18 00:00:00.000
122;6600;Office operating costs;-239968,57;-239968,57;0;2013-10-18 00:00:00.000
123;6700;Administrative expenses;-518221,91;-518221,91;0;2013-10-18 00:00:00.000
124;6870;Security expenses;0;0;0;2013-10-18 00:00:00.000
125;6900;Taxes on income and profit;-2022902,29;-2022902,29;0;2013-10-18 00:00:00.000
126;6950;Other taxes;-29714,17;-29714,17;0;2013-10-18 00:00:00.000
127;7010;Interest income banks;2027626,01;2027626,02;-0,01;2013-10-18 00:00:00.000
128;7100;Interest income non-banks;17102021,15;17102021,15;0;2013-10-18 00:00:00.000
129;7210;Interest income floating rate securities;40447,74;40447,74;0;2013-10-18 00:00:00.000
130;7300;Interest-related income;106900,23;106900,23;0;2013-10-18 00:00:00.000
131;7500;Commission income documentary business;396345,13;396345,13;0;2013-10-18 00:00:00.000
132;7600;Commission income payments;1759637,55;1759622,93;14,62;2013-10-18 00:00:00.000
133;7630;Commission income commerce;-2763617,71;-2763617,71;0;2013-10-18 00:00:00.000
134;7650;Other commission incomes;10820,94;10820,94;0;2013-10-18 00:00:00.000
135;7700;Other operating income;25326,56;25326,56;0;2013-10-18 00:00:00.000
136;7850;Foreign exchange income;3366183,17;3366183,17;0;2013-10-18 00:00:00.000
137;7870;Securities income;20390;20390;0;2013-10-18 00:00:00.000
138;10;Cash box;-1937,06;-1937,06;0;2013-10-18 00:00:00.000
139;2500;Intangible assets;-147671,13;-147671,13;0;2013-10-18 00:00:00.000
140;2600;Fixed assets;-140471,63;-140471,63;0;2013-10-18 00:00:00.000
141;2850;Accrued income;-142787,46;-142787,46;0;2013-10-18 00:00:00.000
142;4110;Other liabilities;2333575,39;2333575,39;0;2013-10-18 00:00:00.000
143;4200;Deferred income;0;0;0;2013-10-18 00:00:00.000
144;4300;Provisions - taxes;515762;515762;0;2013-10-18 00:00:00.000
145;4350;Provisions - other;718987,38;718987,38;0;2013-10-18 00:00:00.000
146;5010;Interest payable banks;-11918839,77;-11918839,4;-0,37;2013-10-21 00:00:00.000
147;5100;Interest payable non-banks;-192010,63;-192010,63;0;2013-10-21 00:00:00.000
148;5500;Commission payable;-553112,59;-553112,59;0;2013-10-21 00:00:00.000
149;6000;Wages and salaries;-2417442,03;-2417442,03;0;2013-10-21 00:00:00.000
150;6100;Social contributions;-253808,44;-253808,44;0;2013-10-21 00:00:00.000
151;6150;Other personnel expenses;-62743,68;-62743,68;0;2013-10-21 00:00:00.000
152;6400;Depreciation of intangible and tangible assets;-79480,71;-79480,71;0;2013-10-21 00:00:00.000
153;6500;Room  maintenance costs and rental fees;-490409,94;-490409,94;0;2013-10-21 00:00:00.000
154;6600;Office operating costs;-239968,35;-239968,35;0;2013-10-21 00:00:00.000
155;6700;Administrative expenses;-518309,2;-518309,2;0;2013-10-21 00:00:00.000
156;6870;Security expenses;0;0;0;2013-10-21 00:00:00.000
157;6900;Taxes on income and profit;-2022902,29;-2022902,29;0;2013-10-21 00:00:00.000
158;6950;Other taxes;-29730,75;-29730,75;0;2013-10-21 00:00:00.000
159;7010;Interest income banks;2044443,22;2044443,22;0;2013-10-21 00:00:00.000
160;7100;Interest income non-banks;17184430,82;17184430,82;0;2013-10-21 00:00:00.000
161;7210;Interest income floating rate securities;40573,9;40573,9;0;2013-10-21 00:00:00.000
162;7300;Interest-related income;106900,23;106900,23;0;2013-10-21 00:00:00.000
163;7500;Commission income documentary business;396859,52;396859,52;0;2013-10-21 00:00:00.000
164;7600;Commission income payments;1766657,87;1766657,87;0;2013-10-21 00:00:00.000
165;7630;Commission income commerce;-1410959,4;-1410959,4;0;2013-10-21 00:00:00.000
166;7650;Other commission incomes;10820,94;10820,94;0;2013-10-21 00:00:00.000
167;7700;Other operating income;25327,54;25327,54;0;2013-10-21 00:00:00.000
168;7850;Foreign exchange income;2044043,54;2044043,54;0;2013-10-21 00:00:00.000
169;7870;Securities income;20390;20390;0;2013-10-21 00:00:00.000
170;10;Cash box;-1937,06;-1937,06;0;2013-10-21 00:00:00.000
171;2500;Intangible assets;-147671,13;-147671,13;0;2013-10-21 00:00:00.000
172;2600;Fixed assets;-140471,63;-140471,63;0;2013-10-21 00:00:00.000
173;2850;Accrued income;-142792,65;-142792,65;0;2013-10-21 00:00:00.000
174;4110;Other liabilities;996990,98;996990,98;0;2013-10-21 00:00:00.000
175;4200;Deferred income;0;0;0;2013-10-21 00:00:00.000
176;4300;Provisions - taxes;515762;515762;0;2013-10-21 00:00:00.000
177;4350;Provisions - other;718987,38;718987,38;0;2013-10-21 00:00:00.000
178;7500;Commission income documentary business;401662,02;401662,02;0;2013-10-23 00:00:00.000
179;7600;Commission income payments;1781041,97;1781041,97;0;2013-10-23 00:00:00.000
180;7630;Commission income commerce;-2665883,66;-2665883,66;0;2013-10-23 00:00:00.000
181;7650;Other commission incomes;13264,81;13264,81;0;2013-10-23 00:00:00.000
182;7700;Other operating income;25392,9;25392,9;0;2013-10-23 00:00:00.000
183;7850;Foreign exchange income;3346009,12;3346009,12;0;2013-10-23 00:00:00.000
184;7870;Securities income;20390;20390;0;2013-10-23 00:00:00.000
185;10;Cash box;-1937,06;-1937,06;0;2013-10-23 00:00:00.000
186;2500;Intangible assets;-147671,13;-147671,13;0;2013-10-23 00:00:00.000
187;2600;Fixed assets;-140471,63;-140471,63;0;2013-10-23 00:00:00.000
188;2850;Accrued income;-142753,76;-142753,76;0;2013-10-23 00:00:00.000
189;4110;Other liabilities;1097551,26;1097551,26;0;2013-10-23 00:00:00.000
190;4200;Deferred income;0;0;0;2013-10-23 00:00:00.000
191;4300;Provisions - taxes;515762;515762;0;2013-10-23 00:00:00.000
192;4350;Provisions - other;718987,38;718987,38;0;2013-10-23 00:00:00.000
193;5010;Interest payable banks;-12092868,26;-12092867,89;-0,37;2013-10-24 00:00:00.000
194;5100;Interest payable non-banks;-192463,07;-192463,07;0;2013-10-24 00:00:00.000
195;5500;Commission payable;-553208,19;-553208,19;0;2013-10-24 00:00:00.000
196;6000;Wages and salaries;-2417442,03;-2417442,03;0;2013-10-24 00:00:00.000
197;6000;Wages and salaries;-236060,87;-236060,87;0;2014-01-20 00:00:00.000
198;6100;Social contributions;-38584,82;-38584,82;0;2014-01-20 00:00:00.000
199;6150;Other personnel expenses;-6459,68;-6459,68;0;2014-01-20 00:00:00.000
200;6400;Depreciation of intangible and tangible assets;0;0;0;2014-01-20 00:00:00.000
201;6500;Room  maintenance costs and rental fees;-41718,88;-41718,88;0;2014-01-20 00:00:00.000
202;6600;Office operating costs;-10047,68;-10047,68;0;2014-01-20 00:00:00.000
203;6700;Administrative expenses;-33762,31;-33762,31;0;2014-01-20 00:00:00.000
204;6870;Security expenses;0;0;0;2014-01-20 00:00:00.000
205;6900;Taxes on income and profit;-575678,11;-575678,11;0;2014-01-20 00:00:00.000
206;6950;Other taxes;-6234,04;-6234,04;0;2014-01-20 00:00:00.000
207;7010;Interest income banks;1182867,08;1183223,12;-356,04;2014-01-20 00:00:00.000
208;7100;Interest income non-banks;832627,37;832627,37;0;2014-01-20 00:00:00.000
209;7210;Interest income floating rate securities;2613,89;2613,89;0;2014-01-20 00:00:00.000
210;7300;Interest-related income;152840,79;152840,79;0;2014-01-20 00:00:00.000
211;7500;Commission income documentary business;14000,41;14000,41;0;2014-01-20 00:00:00.000
212;7600;Commission income payments;87449,18;87375,42;73,76;2014-01-20 00:00:00.000
213;7650;Other commission incomes;290,06;290,06;0;2014-01-20 00:00:00.000
214;7700;Other operating income;667,54;667,54;0;2014-01-20 00:00:00.000
215;7850;Foreign exchange income;1123919,69;1123919,69;0;2014-01-20 00:00:00.000
216;7870;Securities income;0;0;0;2014-01-20 00:00:00.000
217;10;Cash box;-732,06;-732,06;0;2014-01-20 00:00:00.000
218;2500;Intangible assets;-135436,02;-135436,02;0;2014-01-20 00:00:00.000
219;2600;Fixed assets;-128381,1;-128381,1;0;2014-01-20 00:00:00.000
220;2850;Accrued income;-69997,01;-69997,01;0;2014-01-20 00:00:00.000
221;4110;Other liabilities;3501382,34;3501382,34;0;2014-01-20 00:00:00.000
222;4200;Deferred income;118755,57;118755,57;0;2014-01-20 00:00:00.000
223;4300;Provisions - taxes;817773,12;817773,12;0;2014-01-20 00:00:00.000
224;4350;Provisions - other;441678,71;441678,71;0;2014-01-20 00:00:00.000
225;5010;Interest payable banks;-1605195,54;-1605195,18;-0,36;2014-01-21 00:00:00.000
226;5100;Interest payable non-banks;-130176,35;-130176,35;0;2014-01-21 00:00:00.000
227;5500;Commission payable;-16560,3;-16560,3;0;2014-01-21 00:00:00.000
228;6000;Wages and salaries;-236060,87;-236060,87;0;2014-01-21 00:00:00.000
229;6100;Social contributions;-38596,79;-38596,79;0;2014-01-21 00:00:00.000
