ID;LineNr;CCB_Category;Blank1;AccountingCode;Source_account;Eight_digit_Number;Account_name;Level_3_Account_Code_COA_natural_account_code;Level_3_Account_Name;Account_change_status;PBC_No;blank;Amount_In_Management_Statement
5884;10;可供出售金融资产 Available-for-sale financial assets;NULL;NULL;14107;14107000;可供出售地方政府債券价值调整（東京） Revaluation provision Available-for-sale local governments bond（TK）;110083;可供出售地方政府債券价值调整（東京） Revaluation provision Available-for-sale local governments bond（TK）;121205修改 Revised;8;NULL;0
5885;10;可供出售金融资产 Available-for-sale financial assets;NULL;NULL;14106;14106708;可供出售其他债券价值调整 Revaluation provision available-for-sale others securities;110084;可供出售其他债券价值调整 Revaluation provision available-for-sale others securities;121205修改 Revised;8;NULL;0
5886;10;可供出售金融资产 Available-for-sale financial assets;NULL;NULL;14702;14702756;可供出售股权投资成本 Available-for-sale equity shares;110261;上市公司可供出售股权投资成本 Available-for-sale equity shares- Listed company;NULL;8,3;NULL;0
5887;10;可供出售金融资产 Available-for-sale financial assets;NULL;NULL;14702;14702757;可供出售股权投资成本——非上市公司 Available-for-sale unlisted equity shares;110262;非上市公司可供出售股权投资成本 Available-for-sale equity shares- Unlisted company ;1512新增 Added;8,3;NULL;0
5888;10;可供出售金融资产 Available-for-sale financial assets;NULL;NULL;14703;14703756;可供出售股权投资价值调整 Revaluation provision- Available-for-sale equity shares;110281;上市公司可供出售股权投资价值调整 Revaluation provision- Available-for-sale equity shares- Listed company;NULL;8,3;NULL;0
5889;10;可供出售金融资产 Available-for-sale financial assets;NULL;NULL;14703;14703757;可供出售股权投资价值调整——非上市公司 Reval prov - AFS securities - unlisted Listed equity shares;110282;非上市公司可供出售股权投资价值调整 Revaluation provision- Available-for-sale equity shares- Unlisted company;1512新增 Added;8,3;NULL;0
5890;10;可供出售金融资产 Available-for-sale financial assets;NULL;NULL;14501;14501000;可供出售债券个别计提减值准备 Individual impirment all'ces- Sec AFS  ;111161;可供出售债券个别计提减值准备 Individual impairment all'ces- Sec AFS  ;NULL;8;NULL;0
5891;10;可供出售金融资产 Available-for-sale financial assets;NULL;NULL;14502;14502000;可供出售债券组合计提减值准备 Collective impairment all'ces- Sec AFS    ;111162;可供出售债券组合计提减值准备 Collective impairment all'ces- Sec AFS    ;NULL;8;NULL;0
5892;10;可供出售金融资产 Available-for-sale financial assets;NULL;NULL;14704;14704756;可供出售股权投资减值准备 Impairment- Available-for-sale equity shares;111261;上市公司可供出售股权投资减值准备 Impairment of available-for-sale equity shares- Listed company;NULL;8,3;NULL;0
5893;10;可供出售金融资产 Available-for-sale financial assets;NULL;NULL;14704;14704757;可供出售股权投资减值准备——非上市公司 impairment-Available-for-sale equity shares-unlisted;111262;非上市公司可供出售股权投资减值准备 Impairment of available-for-sale equity shares- Unlisted company;1512新增 Added;8,3;NULL;0
