ID	ClientType	BusinessType	Contract Type	ProductType	ClientNr	ContractClear	Counterparty/Issuer	StartDate	Next Event	Final Matu	Type	CURRENCY	Principal Amount/Value Balance(EUR Equ)	InterestRate	DaysToEventDate	MonthsToEventDate	MonthsToStartDate	YearsToStartDate	DaysToMaturity	DaysToMaturityFromStartDate	MonthsToMaturityFromStartDate	YearsToMaturityFromStartDate	RESTLAUFZEIT	EVENT	ProlongationNr	InterestEventCalc	InterestType	TOTAL_INTEREST	Year1_Interest	Year2_Interest	Year3_Interest	Year4_Interest	Year5_Interest
358	BANK	PREFINANCINGS	CLDD	FTBRDD	67820077	6,7811E+14	CCB DALIAN BRANCH	2016-11-14 00:00:00.000	2017-03-03 00:00:00.000	2017-03-03 00:00:00.000	Assets	USD	-1488487,15	1,62078	62	3	0	0	62	109	4	1	3	LIVE DATA	0	3M USD LIBOR	V	4154,88	4154,88	0	0	0	0
359	BANK	PREFINANCINGS	CLDD	FTBRDD	67820077	6,7811E+14	CCB DALIAN BRANCH	2016-12-08 00:00:00.000	2017-03-20 00:00:00.000	2017-03-20 00:00:00.000	Assets	USD	-876316,04	2,16496	79	3	0	0	79	102	3	1	3	LIVE DATA	0	3M USD LIBOR	V	4163,28	4163,28	0	0	0	0
360	BANK	PREFINANCINGS	CLDD	EALLC	67820063	6,7811E+14	CCB SHENZHEN	2016-12-27 00:00:00.000	2017-03-21 00:00:00.000	2017-03-21 00:00:00.000	Assets	USD	-105520,25	2,19706	80	3	0	0	80	84	3	1	3	LIVE DATA	0	3M USD LIBOR	V	515,19	515,19	0	0	0	0
361	BANK	PREFINANCINGS	CLDD	EALLC	67820063	6,7811E+14	CCB SHENZHEN	2016-12-27 00:00:00.000	2017-03-21 00:00:00.000	2017-03-21 00:00:00.000	Assets	USD	-440605,14	2,19706	80	3	0	0	80	84	3	1	3	LIVE DATA	0	3M USD LIBOR	V	2151,19	2151,19	0	0	0	0
362	BANK	BANKS TIME DEPOSITS - OVER 1 MONTH UNTIL 3 MONTHS	DLD	DD	67803651	2003458	EMIRATES NBD HEAD OFFICE	2016-12-14 00:00:00.000	2017-02-14 00:00:00.000	2017-02-14 00:00:00.000	Liabilities	EUR	80000000	-0,1	45	2	0	0	45	62	2	1	2	LIVE DATA	0	3M EURIBOR	V	10000	10000	0	0	0	0
363	NONE BANK	CUSTOMER TIME DEPOSITS	MMDP	MMFCUD	67803592	6,7825E+14	TOTAL TREASURY	2016-08-15 00:00:00.000	2017-02-15 00:00:00.000	2017-02-15 00:00:00.000	Liabilities	EUR	45000000	0	46	2	0	0	46	184	6	1	0	LIVE DATA	0	6M EURIBOR	V	0	0	0	0	0	0
364	BANK	BANKS TIME DEPOSITS - OVER 1 MONTH UNTIL 3 MONTHS	DLD	DD	67803654	2003467	RAIFFEISEN BANK SWITZERLAND	2016-12-19 00:00:00.000	2017-03-20 00:00:00.000	2017-03-20 00:00:00.000	Liabilities	EUR	45000000	0	79	3	0	0	79	91	3	1	0	LIVE DATA	0	3M EURIBOR	V	0	0	0	0	0	0
365	BANK	PREFINANCINGS	CLDD	EALLC	67820063	6,7811E+14	CCB SHENZHEN	2016-12-23 00:00:00.000	2017-03-21 00:00:00.000	2017-03-21 00:00:00.000	Assets	USD	-7821105,95	1,29761	80	3	0	0	80	88	3	1	3	LIVE DATA	0	3M USD LIBOR	V	22552,77	22552,77	0	0	0	0
366	BANK	PREFINANCINGS	CLDD	FTBRDD	67820077	6,7811E+14	CCB DALIAN BRANCH	2016-10-27 00:00:00.000	2017-03-21 00:00:00.000	2017-03-21 00:00:00.000	Assets	USD	-61200,83	1,86044	80	3	0	0	80	145	5	1	3	LIVE DATA	0	6M USD LIBOR	V	253,02	253,02	0	0	0	0
367	BANK	PREFINANCINGS	CLDD	FTBRDD	67820077	6,7811E+14	CCB DALIAN BRANCH	2016-12-22 00:00:00.000	2017-03-22 00:00:00.000	2017-03-22 00:00:00.000	Assets	USD	-32417,24	2,19622	81	3	0	0	81	90	3	1	3	LIVE DATA	0	3M USD LIBOR	V	160,19	160,19	0	0	0	0
